"glotto.code","glotto.name","glotto.family","area"
"wint1259","Wintu","Wintuan","California"
"timn1235","Timne","Atlantic-Congo","African Savannah"
"bara1380","Barasana-Eduria","Tucanoan","NE South America"
"copa1236","Copainalá Zoque","Mixe-Zoque","Mesoamerica"
"pero1241","Pero","Afro-Asiatic","African Savannah"
"west2600","West Makian","North Halmahera","Oceania"
"dera1248","Dera (Nigeria)","Afro-Asiatic","African Savannah"
"koas1236","Koasati","Muskogean","E North America"
"ware1253","Warembori","Austronesian","N Coast New Guinea"
"dibo1245","Dibole","Atlantic-Congo","S Africa"
"bann1247","Bannoni","Austronesian","Oceania"
"ndum1239","Ndumu","Atlantic-Congo","S Africa"
"hali1244","Halia","Austronesian","Oceania"
"east2443","East Ambae","Austronesian","Oceania"
"ulit1238","Ulithian","Austronesian","Oceania"
"kair1263","Kairiru","Austronesian","N Coast New Guinea"
"asha1243","Asháninka","Arawakan","Andean"
"kosa1249","Kosarek Yale","Nuclear Trans New Guinea","Interior New Guinea"
"nort3139","North Levantine Arabic","Afro-Asiatic","Greater Mesopotamia"
"haus1257","Hausa","Afro-Asiatic","African Savannah"
"chuv1255","Chuvash","Turkic","Inner Asia"
"xara1244","Xârâcùù","Austronesian","Oceania"
"nucl1634","Nuclear Skou","Sko","N Coast New Guinea"
"siks1238","Siksika","Algic","Basin and Plains"
"mbum1254","Mbum","Atlantic-Congo","African Savannah"
"bauz1241","Bauzi","Geelvink Bay","Interior New Guinea"
"fonn1241","Fon","Atlantic-Congo","African Savannah"
"pino1237","Pinotepa Nacional Mixtec","Otomanguean","Mesoamerica"
"roma1327","Romanian","Indo-European","Europe"
"choc1276","Choctaw","Muskogean","E North America"
"mail1248","Mailu","Mailuan","S New Guinea"
"meya1236","Meyah","East Bird's Head","N Coast New Guinea"
"imba1240","Imbabura Highland Quichua","Quechuan","Andean"
"siam1242","Siamou","Atlantic-Congo","African Savannah"
"vinm1237","Vinmavis","Austronesian","Oceania"
"paul1238","Paulohi","Austronesian","Oceania"
"adny1235","Adnyamathanha","Pama-Nyungan","S Australia"
"adze1240","Adzera","Austronesian","N Coast New Guinea"
"nucl1305","Modern Kannada","Dravidian","Indic"
"pogo1243","Pogolo","Atlantic-Congo","S Africa"
"lepc1244","Lepcha","Sino-Tibetan","Indic"
"high1276","Highland Popoluca","Mixe-Zoque","Mesoamerica"
"telu1262","Telugu","Dravidian","Indic"
"chuk1273","Chukchi","Chukotko-Kamchatkan","N Coast Asia"
"maho1249","Mahou","Mande","African Savannah"
"sout2866","South Marquesan","Austronesian","Basin and Plains"
"turk1308","Turkana","Nilotic","S Africa"
"pang1287","Pangwa","Atlantic-Congo","S Africa"
"bord1248","Border Kuna","Chibchan","Andean"
"rumu1243","Rumu","Turama-Kikori","Interior New Guinea"
"wakh1245","Wakhi","Indo-European","Indic"
