"","file","spkA","spkB","dur","dialActA2.last","dialActB2.first","A.lastResp","A.lastInit","B.firstResp","sexA","sexB","rateA","rateB","laughA","laughB"
"1",3155,"spkr1351","spkr1361",394,"statement","abandon",FALSE,FALSE,FALSE,"F","F",3.30917690869329,3.8971431195116,FALSE,FALSE
"2",3155,"spkr1361","spkr1351",-336,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",4.05306269091874,9.23940287101029,FALSE,FALSE
"3",3155,"spkr1351","spkr1361",341,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",1.80793991907446,1.17912896068212,FALSE,FALSE
"4",3155,"spkr1361","spkr1351",35,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",9.1551097724345,-6.25814198061284,FALSE,FALSE
"5",3155,"spkr1351","spkr1361",29,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",1.82559397526625,8.14382313467687,FALSE,FALSE
"6",3155,"spkr1361","spkr1351",-371,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-5.1567366142186,5.77108808881319,FALSE,FALSE
"7",3155,"spkr1351","spkr1361",241,"statement","agree",FALSE,FALSE,TRUE,"F","F",3.97924319929159,-7.16776505262298,FALSE,FALSE
"8",3155,"spkr1361","spkr1351",316,"statement","agree",FALSE,FALSE,TRUE,"F","F",1.71170948854941,-6.63514800024117,FALSE,TRUE
"9",3155,"spkr1351","spkr1361",-167,"yn_q","yes",FALSE,TRUE,TRUE,"F","F",-4.23189770550366,4.49892961776592,TRUE,FALSE
"10",3155,"spkr1361","spkr1351",208,"statement","agree",FALSE,FALSE,TRUE,"F","F",-1.35912690420858,11.9785758518875,FALSE,FALSE
"11",3155,"spkr1351","spkr1361",-137,"agree","statement",TRUE,FALSE,FALSE,"F","F",6.04953193024545,-2.81287314370072,FALSE,FALSE
"12",3155,"spkr1361","spkr1351",230,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-0.105205271391034,5.83284623247517,FALSE,FALSE
"13",3155,"spkr1351","spkr1361",-75,"backchannel","uninterp",TRUE,FALSE,FALSE,"F","F",3.37159545418752,8.3767221336016,FALSE,FALSE
"14",3155,"spkr1361","spkr1351",2969,"uninterp","statement",FALSE,FALSE,FALSE,"F","F",-5.17117133562029,5.32820495178022,FALSE,FALSE
"15",3155,"spkr1351","spkr1361",-322,"statement","statement",FALSE,FALSE,FALSE,"F","F",12.3827862167455,0.413969952166387,FALSE,FALSE
"16",3155,"spkr1361","spkr1351",18,"statement","statement",FALSE,FALSE,FALSE,"F","F",-3.85571544382691,-3.13006949423239,FALSE,FALSE
"17",3155,"spkr1351","spkr1361",-55,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-8.71238741835937,12.356302398128,FALSE,FALSE
"18",3155,"spkr1361","spkr1351",27,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-1.65669417487313,-4.19932465741043,FALSE,FALSE
"19",3155,"spkr1351","spkr1361",307,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",10.0231939580142,5.92747087925873,FALSE,FALSE
"20",3155,"spkr1361","spkr1351",-362,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-0.908712177907902,-1.91823395405565,FALSE,FALSE
"21",3155,"spkr1351","spkr1361",410,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",5.81808010145422,4.01520623899065,FALSE,FALSE
"22",3155,"spkr1361","spkr1351",-227,"uninterp","statement",FALSE,FALSE,FALSE,"F","F",-1.10471001286991,6.08664508925527,FALSE,FALSE
"23",3155,"spkr1351","spkr1361",262,"statement","uninterp",FALSE,FALSE,FALSE,"F","F",8.65195701846629,-4.69794915512656,FALSE,FALSE
"24",3155,"spkr1361","spkr1351",373,"uninterp","backchannel",FALSE,FALSE,TRUE,"F","F",1.46443698565955,2.16703864536149,FALSE,FALSE
"25",3155,"spkr1351","spkr1361",-242,"backchannel","uninterp",TRUE,FALSE,FALSE,"F","F",-2.96883058943885,2.33686253814832,FALSE,FALSE
"26",3155,"spkr1361","spkr1351",244,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",6.05205095293806,5.95649145060365,FALSE,FALSE
"27",3155,"spkr1351","spkr1361",-165,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-4.98868689889873,-6.97567758613849,FALSE,FALSE
"28",3155,"spkr1361","spkr1351",45,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-2.78968078082079,4.32389063246084,FALSE,FALSE
"29",3155,"spkr1351","spkr1361",-1109,"statement","agree",FALSE,FALSE,TRUE,"F","F",-8.26300804276107,-0.574761841374673,FALSE,FALSE
"30",3155,"spkr1361","spkr1351",67,"statement","agree",FALSE,FALSE,TRUE,"F","F",9.87857651234177,-5.91407830282638,FALSE,FALSE
"31",3155,"spkr1351","spkr1361",-66,"agree","statement",TRUE,FALSE,FALSE,"F","F",5.55148473553767,0.487679541002217,FALSE,FALSE
"32",3155,"spkr1361","spkr1351",-381,"excluded","agree",FALSE,FALSE,TRUE,"F","F",-6.20457794943127,-4.30115844086089,FALSE,FALSE
"33",3155,"spkr1351","spkr1361",84,"agree","excluded",TRUE,FALSE,FALSE,"F","F",-3.78520090561637,-2.03883686407151,FALSE,FALSE
"34",3155,"spkr1361","spkr1351",102,"excluded","repeat",FALSE,FALSE,FALSE,"F","F",4.89278383248804,10.2678078282333,FALSE,FALSE
"35",3155,"spkr1351","spkr1361",-339,"repeat","statement",FALSE,FALSE,FALSE,"F","F",10.9447320000909,-4.2175717795262,FALSE,FALSE
"36",3155,"spkr1361","spkr1351",198,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",1.87379206027892,4.28116645078876,FALSE,FALSE
"37",3155,"spkr1351","spkr1361",383,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-5.55767056651644,-8.34426757542316,FALSE,FALSE
"38",3155,"spkr1361","spkr1351",163,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-8.49883714819227,-3.440853571252,FALSE,FALSE
"39",3155,"spkr1351","spkr1361",-168,"abandon","yn_q",FALSE,FALSE,FALSE,"F","F",5.82477090917388,9.18100039828235,FALSE,FALSE
"40",3155,"spkr1361","spkr1351",26,"yn_q","yes",FALSE,TRUE,TRUE,"F","F",-6.00351967960929,-3.29611217281654,FALSE,FALSE
"41",3155,"spkr1351","spkr1361",549,"yes","opinion",TRUE,FALSE,FALSE,"F","F",11.0173574075581,-0.601747196937459,FALSE,FALSE
"42",3155,"spkr1361","spkr1351",368,"opinion","backchannel",FALSE,FALSE,TRUE,"F","F",5.65261710171912,1.83440973662811,FALSE,FALSE
"43",3155,"spkr1351","spkr1361",-13,"backchannel","opinion",TRUE,FALSE,FALSE,"F","F",8.06694643252569,-7.48143923512045,FALSE,FALSE
"44",3155,"spkr1361","spkr1351",135,"opinion","backchannel",FALSE,FALSE,TRUE,"F","F",1.97093543087747,10.859148623257,FALSE,FALSE
"45",3155,"spkr1351","spkr1361",461,"backchannel","abandon",TRUE,FALSE,FALSE,"F","F",-0.409441832617791,-1.55328985619481,FALSE,FALSE
"46",3155,"spkr1361","spkr1351",28,"abandon","statement",FALSE,FALSE,FALSE,"F","F",10.3899424538097,-3.34938700479879,FALSE,FALSE
"47",3155,"spkr1351","spkr1361",72,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-1.72737777402117,5.28981438900196,FALSE,FALSE
"48",3155,"spkr1361","spkr1351",-254,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",6.28994219998681,3.62050321828714,FALSE,FALSE
"49",3155,"spkr1351","spkr1361",597,"statement","statement",FALSE,FALSE,FALSE,"F","F",-3.53692286703596,3.04612011128373,FALSE,FALSE
"50",3155,"spkr1361","spkr1351",546,"statement","agree",FALSE,FALSE,TRUE,"F","F",-7.54599199219339,-1.66844649857686,FALSE,FALSE
"51",3155,"spkr1351","spkr1361",168,"statement","statement",FALSE,FALSE,FALSE,"F","F",5.29687894822254,10.8889627505769,FALSE,FALSE
"52",3155,"spkr1361","spkr1351",-142,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-3.40578489445849,2.08723690878138,FALSE,FALSE
"53",3155,"spkr1351","spkr1361",172,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-7.84937039431647,6.67234121963483,FALSE,FALSE
"54",3155,"spkr1361","spkr1351",458,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",5.2876924365024,-7.85109650742144,FALSE,FALSE
"55",3155,"spkr1351","spkr1361",873,"statement","yn_q",FALSE,FALSE,FALSE,"F","F",1.33245707597649,0.0308806151804112,FALSE,FALSE
"56",3155,"spkr1361","spkr1351",56,"yn_q","yes",FALSE,TRUE,TRUE,"F","F",3.98551102547912,0.461796204366721,FALSE,FALSE
"57",3155,"spkr1351","spkr1361",208,"statement","statement",FALSE,FALSE,FALSE,"F","F",-4.98324242144367,2.48986681768078,FALSE,FALSE
"58",3155,"spkr1361","spkr1351",238,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",9.70691906598735,0.0381132082824065,FALSE,FALSE
"59",3155,"spkr1351","spkr1361",-340,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",12.3311737978641,5.33356247477342,FALSE,FALSE
"60",3155,"spkr1361","spkr1351",141,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",-8.81310807533454,0.222471614996258,FALSE,FALSE
"61",3155,"spkr1351","spkr1361",481,"statement","abandon",FALSE,FALSE,FALSE,"F","F",7.781684983605,9.36511817456296,FALSE,FALSE
"62",3155,"spkr1361","spkr1351",253,"opinion","backchannel",FALSE,FALSE,TRUE,"F","F",5.85891041507086,3.81948783576747,FALSE,FALSE
"63",3155,"spkr1351","spkr1361",369,"backchannel","opinion",TRUE,FALSE,FALSE,"F","F",2.76465889115145,6.06073583548286,FALSE,FALSE
"64",3155,"spkr1361","spkr1351",200,"opinion","excluded",FALSE,FALSE,FALSE,"F","F",9.11780779322007,3.8517357044416,FALSE,FALSE
"65",3155,"spkr1351","spkr1361",-431,"excluded","uninterp",FALSE,FALSE,FALSE,"F","F",-2.92508264458455,-5.06380798057166,FALSE,FALSE
"66",3155,"spkr1361","spkr1351",167,"uninterp","excluded",FALSE,FALSE,FALSE,"F","F",10.1137820841328,9.65020443426991,FALSE,FALSE
"67",3155,"spkr1351","spkr1361",-69,"excluded","backchannel",FALSE,FALSE,TRUE,"F","F",-7.92109263481026,9.21413242398356,FALSE,FALSE
"68",3155,"spkr1361","spkr1351",28,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",5.895346674726,1.25014649883769,FALSE,FALSE
"69",3155,"spkr1351","spkr1361",277,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",-3.01387778769322,6.36703890963656,FALSE,FALSE
"70",3155,"spkr1361","spkr1351",79,"opinion","agree",FALSE,FALSE,TRUE,"F","F",-4.98477578879136,-8.03200057711567,FALSE,FALSE
"71",3155,"spkr1351","spkr1361",-85,"opinion","opinion",FALSE,FALSE,FALSE,"F","F",2.86477841433023,6.13895053781662,FALSE,FALSE
"72",3155,"spkr1361","spkr1351",51,"opinion","backchannel",FALSE,FALSE,TRUE,"F","F",-0.0957027456226072,8.1122439203729,FALSE,FALSE
"73",3155,"spkr1351","spkr1361",75,"backchannel","opinion",TRUE,FALSE,FALSE,"F","F",0.568826686399154,7.3805151292089,FALSE,FALSE
"74",3155,"spkr1361","spkr1351",423,"statement","backchannel",FALSE,FALSE,TRUE,"F","F",8.83427215451035,8.31906925367774,FALSE,FALSE
"75",3155,"spkr1351","spkr1361",164,"backchannel","statement",TRUE,FALSE,FALSE,"F","F",2.01807511916966,-7.41087823021335,FALSE,FALSE
"76",3155,"spkr1361","spkr1351",85,"opinion","agree",FALSE,FALSE,TRUE,"F","F",9.17231582258719,-4.30210476145455,FALSE,FALSE
