"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Abau","abau1245","aau",-4,141.25,"SOV","Postpositions"
"Abipón","abip1241","axb",-29,-61,"SVO","Prepositions"
"Abkhaz","abkh1244","abk",43.0833333333,41,"SOV","Postpositions"
"Abui","abui1241","abz",-8.25,124.666666667,"SOV","No adpositions"
"Acehnese","achi1257","ace",5.5,95.5,"No dominant order","Prepositions"
"Achagua","acha1250","aca",4.41666666667,-72.25,"SVO","Postpositions"
"Acholi","acol1236","ach",3,32.6666666667,"SVO","Prepositions"
"Achumawi","achu1247","acv",41.5,-121,"SVO","Prepositions"
"Acoma","west2632","kjq",34.9166666667,-107.583333333,"No dominant order","Postpositions"
"Adang","adan1251","adn",-8.2,124,"SOV","Postpositions"
"Adioukrou","adio1239","adj",5.41666666667,-4.58333333333,"SVO","Postpositions"
"Adynyamathanha","adny1235","adt",-30.5,139.5,"No dominant order","Postpositions"
"Adyghe (Abzakh)","adyg1241","ady",45.2333333333,40.5833333333,"SOV","Postpositions"
"Adzera","adze1240","adz",-6.25,146.25,"SVO","Prepositions"
"Arabic (Egyptian)","egyp1253","arz",30,31,"SVO","Prepositions"
"Agta (Central)","cent2084","agt",17.9666666667,121.833333333,"VSO","Prepositions"
"Angami","anga1287","nri",25.6666666667,94.5,"SOV","Postpositions"
"Ainu","ainu1240","ain",43,143,"SOV","Postpositions"
"Aja","ajas1235","aja",7.33333333333,25.6666666667,"SVO","Prepositions"
"Ajagbe","ajab1235","ajg",7,1.75,"No dominant order","Postpositions"
"Akha","akha1245","ahk",21.8333333333,99.8333333333,"SOV","Postpositions"
"Akan","akan1250","aka",6.5,-1.25,"SVO","No dominant order"
"Alamblak","alam1246","amp",-4.66666666667,143.333333333,"SOV","Postpositions"
"Albanian","gheg1238","als",41,20,"SVO","Prepositions"
"Arop-Lokep","arop1243","apr",-5.38333333333,147.05,"SVO","Prepositions"
"Ala'ala","lala1268","nrz",-8.91666666667,146.75,"SOV","No dominant order"
"Alune","alun1238","alp",-3,128.333333333,"SVO","Prepositions"
"Alawa","alaw1244","alh",-15.1666666667,134.25,"No dominant order","Prepositions"
"Alyawarra","alya1239","aly",-22.5,135,"SOV","Postpositions"
"Amara","amar1272","aie",-5.66666666667,148.5,"SVO","Prepositions"
"Ambulas","ambu1247","abt",-3.83333333333,143,"SOV","Postpositions"
"Amahuaca","amah1246","amc",-10.5,-72.5,"No dominant order","Postpositions"
"Amele","amel1241","aey",-5.25,145.583333333,"SOV","Postpositions"
"Amharic","amha1245","amh",10,38,"SOV","No dominant order"
"Amis","amis1246","ami",23.3333333333,121.333333333,"No dominant order","Prepositions"
"Ambae (Lolovoli Northeast)","east2443","omb",-15.4166666667,167.883333333,"SVO","Prepositions"
"Arrernte (Mparntwe)","east2379","aer",-24,136,"SOV","Postpositions"
"Ambai","amba1265","amk",-1.83333333333,136.5,"SVO","Prepositions"
"Arabic (Modern Standard)","stan1318","arb",25,42,"VSO","Prepositions"
"Angas","ngas1240","anc",9.5,9.5,"SVO","Prepositions"
"Anggor","ango1254","agg",-3.75,141.166666667,"SOV","Postpositions"
"Anejom","anei1239","aty",-20.2,169.8,"VOS","Prepositions"
"Anindilyakwa","anin1240","aoi",-14,136.5,"No dominant order","Inpositions"
"Anywa","anua1242","anu",8,33.5,"No dominant order","Prepositions"
"Ao","aona1235","njo",26.5833333333,94.6666666667,"SOV","Postpositions"
"Apinayé","apin1244","apn",-5.5,-48,"SOV","Postpositions"
"Apalaí","apal1257","apy",0,-54,"No dominant order","Postpositions"
"Apatani","apat1240","apt",27.5,93.75,"SOV","Postpositions"
