"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Arapesh (Abu)",NA,NA,-3.45,142.95,"VO"
"Aari","aari1239","aiw",6,36.5833333333,"OV"
"Abau","abau1245","aau",-4,141.25,"OV"
"Arabic (Abbéché Chad)","chad1249","shu",13.8333333333,20.8333333333,NA
"Abidji","abid1235","abi",5.66666666667,-4.58333333333,NA
"Arabic (Beirut)","nort3139","apc",33.9166666667,35.5,NA
"Arabic (Bahrain)","baha1259","abv",26,50.5,NA
"Abipón","abip1241","axb",-29,-61,"VO"
"Abkhaz","abkh1244","abk",43.0833333333,41,"OV"
"Alabama","alab1237","akz",32.3333333333,-87.4166666667,NA
"Arabana","arab1267","ard",-28.25,136.25,"OV"
"Arbore","arbo1245","arv",5,36.75,"OV"
"Abun","abun1252","kgr",-0.5,132.5,"VO"
"Abui","abui1241","abz",-8.25,124.666666667,"OV"
"Abenaki (Western)","west2630","abe",44,-72.25,NA
"Abaza","abaz1241","abq",44,42,NA
"Acehnese","achi1257","ace",5.5,95.5,"No dominant order"
"Achagua","acha1250","aca",4.41666666667,-72.25,"VO"
"Aché","ache1246","guq",-25.25,-55.1666666667,NA
"Achí","quic1275","acr",15.1666666667,-90.5,NA
"Acholi","acol1236","ach",3,32.6666666667,"VO"
"Achumawi","achu1247","acv",41.5,-121,"VO"
"Achang","acha1249","acn",25,98.5,"OV"
"Acoma","west2632","kjq",34.9166666667,-107.583333333,"No dominant order"
"Achuar","achu1248","acu",-2.66667,-76,"OV"
"Adamorobe Sign Language","adam1238","ads",5.83333333333,-0.166666666667,NA
"Adang","adan1251","adn",-8.2,124,"OV"
"Adioukrou","adio1239","adj",5.41666666667,-4.58333333333,"VO"
"Andoke","ando1256","ano",-0.666666666667,-72,NA
"Adynyamathanha","adny1235","adt",-30.5,139.5,"No dominant order"
"Adyghe (Temirgoy)","adyg1241","ady",45.2166666667,39.7,NA
"Adyghe (Abzakh)","adyg1241","ady",45.2333333333,40.5833333333,"OV"
"Adzera","adze1240","adz",-6.25,146.25,"VO"
"Aleut (Eastern)","aleu1260","ale",54.75,-164,NA
"Arabic (Egyptian)","egyp1253","arz",30,31,"VO"
"Arabic (Eastern Libyan)","liby1240","ayl",32,22,NA
"Afrikaans","afri1274","afr",-31,22,NA
"Agarabi","agar1252","agd",-6.16666666667,146,"OV"
"Leggbó","legb1242","agb",6,8,"VO"
"Agta (Central)","cent2084","agt",17.9666666667,121.833333333,"VO"
"Agta (Dupaningan)","dupa1235","duo",18,122.083333333,"VO"
"Aghem","aghe1239","agq",6.66666666667,10,"VO"
"Aghul","aghu1253","agx",41.75,47.6666666667,NA
"Angami","anga1287","nri",25.6666666667,94.5,"OV"
"Angolar","ango1258","aoa",0.25,6.5,NA
"Aguaruna","agua1253","agr",-5,-78,NA
"Anguthimri","leni1238","lnj",-12.3333333333,141.833333333,"OV"
"Aguacatec","agua1252","agu",15.4166666667,-91.3333333333,NA
"Alagwa","alag1248","wbj",-5.5,35.75,NA
"Arapaho","arap1274","arp",40,-103,NA
"Arabic (Bani-Hassan)","hass1238","mey",20,-10,NA
"Ahtna","ahte1237","aht",62,-145,NA
"Aghu","aghu1255","ahh",-6.16666666667,140.166666667,NA
"Aikaná","aika1237","tba",-12.6666666667,-60.6666666667,NA
"Ainu","ainu1240","ain",43,143,"OV"
"Aizi","apro1235","ahp",5.25,-4.5,NA
"Aja","ajas1235","aja",7.33333333333,25.6666666667,"VO"
"Ajagbe","ajab1235","ajg",7,1.75,"No dominant order"
"Ajië","ajie1238","aji",-21.3333333333,165.5,NA
"Aka","yaka1272","axk",2.66666666667,16.25,NA
"Aka-Biada","akab1249","abj",11.6666666667,92.5,NA
"Aka-Cari","akac1240","aci",13.5,93,NA
"Akha","akha1245","ahk",21.8333333333,99.8333333333,"OV"
"Aka-Kede","akak1252","akx",12.75,92.75,NA
"Aklanon","akla1241","akl",11.5833333333,122.333333333,NA
"Arakanese (Marma)","marm1234","mhv",21.5,92.5,NA
"Akan","akan1250","aka",6.5,-1.25,"VO"
"Arabic (Kormakiti)","cypr1248","acy",35.25,33.5,NA
"Arikara","arik1262","ari",45.5,-100.5,NA
"Akawaio","akaw1239","ake",6,-59.5,NA
"Alamblak","alam1246","amp",-4.66666666667,143.333333333,"OV"
"Albanian","gheg1238","als",41,20,"VO"
"Allentiac","alle1238",NA,-31,-68,NA
"Alladian","alla1248","ald",5.16666666667,-4.33333333333,NA
"Aleut","aleu1260","ale",54,-166,"OV"
"Algonquin","algo1255","alq",46,-77,NA
"Arop-Lokep","arop1243","apr",-5.38333333333,147.05,"VO"
"Ala'ala","lala1268","nrz",-8.91666666667,146.75,NA
"Alune","alun1238","alp",-3,128.333333333,"VO"
"Alsea","alse1251","aes",44.6666666667,-123.916666667,"VO"
"Alsatian","swis1247","gsw",48.5,7.5,NA
"Alutor","alut1245","alr",61,165,NA
"Alawa","alaw1244","alh",-15.1666666667,134.25,"No dominant order"
"Alas","bata1292","btz",3.66666666667,97.8333333333,NA
"Alyawarra","alya1239","aly",-22.5,135,"OV"
"Amara","amar1272","aie",-5.66666666667,148.5,"VO"
"Ambulas","ambu1247","abt",-3.83333333333,143,"OV"
"Amahuaca","amah1246","amc",-10.5,-72.5,"OV"
"Amdo","amdo1237","adx",35,100,NA
"Amele","amel1241","aey",-5.25,145.583333333,"OV"
"Amharic","amha1245","amh",10,38,"OV"
"Amis","amis1246","ami",23.3333333333,121.333333333,"VO"
"Amarakaeri","amar1274","amr",-12.5,-70.5,NA
"Ambae (Lolovoli Northeast)","east2443","omb",-15.4166666667,167.883333333,"VO"
"Ama","amap1240","amm",-4.21666666667,141.616666667,NA
"Amanab","aman1265","amn",-3.58333333333,141.25,"OV"
"Amo","amoo1242","amo",10.3333333333,8.66666666667,"VO"
"Arrernte (Mparntwe)","east2379","aer",-24,136,"OV"
"Ambai","amba1265","amk",-1.83333333333,136.5,"VO"
"Arabic (Moroccan)","moro1292","ary",34,-6,"VO"
"Arabic (Modern Standard)","stan1318","arb",25,42,"VO"
"Amdo (Themchen)","amdo1237","adx",38,98,"OV"
"Yanesha'","yane1238","ame",-10.5,-75.4166666667,NA
"Anamuxra","anam1248","imi",-4.66666666667,145,"OV"
"Amuzgo","guer1243","amu",16.8333333333,-98,NA
"Araona","arao1248","aro",-12.3333333333,-67.75,"OV"
"Angas","ngas1240","anc",9.5,9.5,"VO"
