"Society","Latitude","Agriculture"
"Ababda",24,"2"
"Abarambo",4,"3"
"Abelam",4,"4"
"Abipon",-29,"1"
"Abkhaz",43,"5"
"Abnaki",46,"0"
"Abor",28,"3"
"Abron",5,"3"
"Acholi",3,"3"
"Achomawi",41,"1"
"Acoma",35,"5"
"Adangme",6,"3"
"Afar",12,"2"
"Afghans",33,"6"
"Afikpo",6,"5"
"Afo",8,"3"
"Agaiduka",44,"1"
"Aimol",25,"3"
"Ainu",44,"3"
"Ajie",-22,"6"
"Akha",21,"3"
"Akyem",7,"3"
"Alacaluf",-52,"1"
"Alagya",5,"0"
"Aleut",54,"1"
"Algerians",31,"6"
"Alkatcho",53,"1"
"Alorese",-8,"3"
"Alsea",44,"1"
"Alur",2,"3"
"Amahuaca",-10,"3"
"Amarar",20,"2"
"Amba",1,"3"
"Ambo",-17,"3"
"Ambonese",-4,"3"
"Amhara",13,"5"
"Ami",22,"6"
"Anaguta",10,"3"
"Ancient Egypt",30,"6"
"Anfillo",9,"3"
"Angami",26,"6"
"Angas",9,"5"
"Annamese",17,"6"
"Antaisaka",-23,"5"
"Antandroy",-25,"3"
"Antarianunts",37,"1"
"Antessar",18,"6"
"Anuak",8,"5"
"Anyi",7,"3"
"Ao",27,"3"
"Apinaye",-6,"3"
"Arapaho",40,"1"
"Arapesh",-4,"4"
"Arbore",5,"3"
"Arikara",46,"5"
"Armenians",40,"5"
"Arusi",8,"3"
"Aryans",30,"0"
"Asben",18,"6"
"Ashanti",7,"3"
"Assini",5,"3"
"Atayal",24,"3"
"Atsakudokwa",42,"1"
"Atsugewi",41,"1"
"Attie",6,"3"
"Aua",-2,"4"
"Aueto",-12,"0"
"Aulliminden",8,"0"
"Avikam",5,"3"
"Aweikoma",-28,"1"
"Awuna",11,"3"
"Aymara",-16,"3"
"Azande",5,"3"
"Azjer",25,"6"
"Aztec",19,"6"
"Babwa",3,"3"
"Babylonians",32,"6"
"Bacairi",-14,"3"
"Bachama",10,"5"
"Baditu",6,"5"
"Badjau Tawi-Tawi",5,"4"
"Bafia",5,"3"
"Baga",10,"3"
"Bagirmi",11,"3"
"Baiga",22,"3"
"Bajun",-2,"3"
