InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
1035	PH	ukr	Ukrainian	1	ieur	Slavic	Ukraine	Europe	"31,100,000"	50:00:00	30:00:00	30	24	0	6	'Ukrainian_[ukra1253][ukr]'
930	PH	mkd	Macedonian	1	ieur	Slavic	Macedonia	Europe	"1,390,000"	41:05:00	22:35	32	26	0	6	'Macedonian_[mace1250][mkd]'
1149	PH	slv	Slovene	1	ieur	Slavic	Slovenia	Europe	"1,730,000"	46:00:00	15:00	37	21	0	16	'Slovenian_[slov1268][slv]'
1139	PH	hrv	Croatian	1	ieur	Slavic	Croatia	Europe	"3,980,000"	NULL	NULL	36	25	0	11	'Croatian_[croa1245][hrv]'
1140	PH	ces	Czech	1	ieur	Slavic	Czech Republic	Europe	"9,250,000"	50:00:00	15:00	38	25	0	13	'Czech_[czec1258][ces]'
1046	PH	pol	Polish	1	ieur	Slavic	Poland	Europe	"36,600,000"	52:00:00	20:00	37	31	0	6	'Polish_[poli1260][pol]'
1150	PH	swe	Swedish	1	ieur	Germanic	Sweden	Europe	"7,910,000"	60:00:00	15:00	35	18	0	17	'Swedish_[swed1254][swe]'
1050	PH	nld	Dutch	1	ieur	Germanic	Netherlands	Europe	"16,400,000"	52:00:00	05:00	39	24	0	15	'Dutch_[dutc1256][nld]'
1049	PH	ydd	Standard Yiddish	1	ieur	Germanic	Israel	Asia	"215,000"	51:45:00	19:25	47	38	0	9	'Eastern_Yiddish_[east2295][ydd]'
1131	PH	nds	Low German	1	ieur	Germanic	Germany	Europe	1000	53:00:00	10:00	37	23	0	14	'Northern_Low_Saxon_[nort2627][nds]'
1111	PH	frr	Frisian	1	ieur	Germanic	Germany	Europe	"10,000"	54:30:00	09:00	42	23	0	19	'Northern_Frisian_[nort2626][frr]'
1112	PH	gju	Gojri; Gujari; Gujar	1	ieur	Indic	India	Asia	"690,000"	32:45:00	76:15:00	50	32	0	18	'Gujari_[guja1253][gju]'
991	PH	rwr	Marwari	1	ieur	Iranian	India	Asia	"5,600,000"	NULL	NULL	46	36	0	10	'Marwari_{India}_[marw1260][rwr]'
1227	PH	wtm	Mewati	1	ieur	Indic	India	Asia	"5,000,000"	NULL	NULL	50	30	0	20	'Mewati_[mewa1250][wtm]'
1219	PH	trw	Torwali	1	ieur	Indic	Pakistan	Asia	"60,000"	34:15:00	72:00:00	51	38	0	13	'Torwali_[torw1241][trw]'
1198	PH	bkk	Brokskat	1	ieur	Indic	India	Asia	"10,000"	35:20:00	76:30:00	41	31	0	10	'Brokskat_[brok1247][bkk]'
1036	PH	phl	Palula (Phalura)	1	ieur	Iranian	Pakistan	Asia	"10,000"	35:50:00	71:45:00	40	30	0	10	'Phalura_[phal1254][phl]'
1148	PH	snd	Sindhi	1	ieur	Indic	Pakistan	Asia	"18,500,000"	26:00:00	69:00:00	54	44	0	10	'Sindhi_[sind1272][snd]'
976	PH	oss	Ossetian	1	ieur	Iranian	Georgia	Asia	"100,000"	43:00:00	44:10:00	39	30	0	9	'Ossetian_[osse1243][oss]'
1042	PH	mzn	Mazanderani	1	ieur	Iranian	Iran	Asia	"3,270,000"	36:30:00	52:00:00	29	22	0	7	'Mazanderani_[maza1291][mzn]'
1109	PH	diq	Dimili	1	ieur	Iranian	Turkey	Asia	"1,000,000"	NULL	NULL	44	30	0	14	'Dimli_[diml1238][diq]'
1145	PH	ita	Italian	1	ieur	Romance	Italy	Europe	"55,000,000"	43:45:00	11:15	30	23	0	7	'Italian_[ital1282][ita]'
1231	PH	fur	Friulian	1	ieur	Romance	Italy	Europe	"794,000"	46:00:00	13:00	39	25	0	14	'Friulian_[friu1240][fur]'
1138	PH	cat	Catalan	1	ieur	Romance	Spain	Europe	"11,200,000"	42:00:00	02:00	39	27	0	12	'Standard_Catalan_[stan1289][cat]'
1141	PH	glg	Galician	1	ieur	Romance	Spain	Europe	"3,170,000"	43:00:00	-8:0	28	21	0	7	'Galician_[gali1258][glg]'
1055	PH	arg	Aragonese	1	ieur	Romance	Spain	Europe	"11,000"	42:30:00	00:10	45	33	0	12	'Aragonese_[arag1245][arg]'
