InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
'Fwe_[fwee1238][fwe]'	852	PH	fwe	Fwe	1	ncon	Bantoid	Namibia	Africa	10,200	#VALUE!	25:20:00	59	49	0	10	'Fwe_[fwee1238][fwe]'
'Cavine√±a_[cavi1250][cav]'	854	PH	cav	Cavinena	2	taca	Tacanan	Bolivia	America	1,180	#VALUE!	#VALUE!	24	20	0	4	'Cavine√±a_[cavi1250][cav]'
'Chamicuro_[cham1318][ccc]'	855	PH	ccc	Chamicuro	2	arwk	Arawakan	Peru	America	2	#VALUE!	#VALUE!	29	19	0	10	'Chamicuro_[cham1318][ccc]'
'Chechen_[chec1245][che]'	856	PH	che	Chechen	1	ncau	Nakh	Russian Federation	Europe	1,330,000	43:30:00	45:30:00	44	32	0	12	'Chechen_[chec1245][che]'
'Chepang_[chep1245][cdm]'	857	PH	cdm	Chepang	1	sitb	Bodic	Nepal	Asia	36,800	27:40:00	84:45:00	24	18	0	6	'Chepang_[chep1245][cdm]'
'Eastern_Mari_[east2328][mhr]'	858	PH	mhr	Cheremis	1	urlc	Mari	Russian Federation	Europe	451,000	55:30:00	55:40:00	27	19	0	8	'Eastern_Mari_[east2328][mhr]'
'Lealao_Chinantec_[leal1235][cle]'	859	PH	cle	Chinanteco	1	otma	Chinantecan	Mexico	America	2,000	17:20	#VALUE!	35	28	0	7	'Lealao_Chinantec_[leal1235][cle]'
'Chol_[chol1282][ctu]'	860	PH	ctu	Tila, Chiapas	1	maya	Mayan	Mexico	America	90,000	17:40	-92:0	26	20	0	6	'Chol_[chol1282][ctu]'
'Chrau_[chra1242][crw]'	861	PH	crw	Chrau	1	ausa	Bahnaric	Viet Nam	Asia	22,600	10:55	107:15:00	33	20	0	13	'Chrau_[chra1242][crw]'
'Barbare√±o_[barb1263][boi]'	862	PH	boi	BarbarenÌƒo	1	chum	Chumash	United States	America	Extinct	34:30:00	#VALUE!	40	34	0	6	'Barbare√±o_[barb1263][boi]'
'Coeur_d-'Alene_[coeu1236][crd]'	863	PH	crd	Coeur d'Alene	1	sali	Interior Salish	United States	America	5	47:20:00	-117:0	48	40	0	8	'Coeur_d-'Alene_[coeu1236][crd]'
'Comanche_[coma1245][com]'	864	PH	com	Comanche	1	utaz	Numic	United States	America	200	34:10:00	#VALUE!	18	12	0	6	'Comanche_[coma1245][com]'
'Cupe√±o_[cupe1243][cup]'	865	PH	cup	Cupeno	1	utaz	Takic	United States	America	No_known_speakers	33:30:00	#VALUE!	38	27	0	11	'Cupe√±o_[cupe1243][cup]'
'Cuvok_[cuvo1236][cuv]'	866	PH	cuv	Cuvok	1	afas	Biu-Mandara	Cameroon	Africa	5,000	10:40	14:00	29	27	0	2	'Cuvok_[cuvo1236][cuv]'
'Denya_[deny1238][anv]'	867	PH	anv	Denya	1	ncon	Bantoid	Cameroon	Africa	11,200	06:00	09:25	30	22	0	8	'Denya_[deny1238][anv]'
'Nepali_Kurux_[nepa1253][kxl]'	868	PH	kxl	Dhangar	1	drav	Northern Dravidian	Nepal	Asia	28,600	26:50:00	86:00:00	39	34	0	5	'Nepali_Kurux_[nepa1253][kxl]'
'Mufian_[mufi1238][aoj]'	869	PH	aoj	Muhiang	1	torr	Kombio-Arapesh	Papua New Guinea	Pacific	11,000	#VALUE!	143:00:00	22	17	0	5	'Mufian_[mufi1238][aoj]'
'Usarufa_[usar1243][usa]'	870	PH	usa	Usarufa	1	trng	Eastern Highlands	Papua New Guinea	Pacific	1,300	#VALUE!	145:35:00	22	17	0	5	'Usarufa_[usar1243][usa]'
'Korafe-Yegha_[kora1294][kpr]'	871	PH	kpr	Korafe	1	trng	Binanderean	Papua New Guinea	Pacific	3,630	#VALUE!	149:10:00	24	19	0	5	'Korafe-Yegha_[kora1294][kpr]'
