Holger Diessel. 2013. Distance Contrasts in Demonstratives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/41, Accessed on 2016-05-11.)


wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	3	Three-way contrast	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
abk	Abkhaz	2	Two-way contrast	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
ace	Acehnese	3	Three-way contrast	5.5	95.5	Malayo-Sumbawan	Austronesian	Nominal Categories
aco	Acoma	3	Three-way contrast	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
afr	Afrikaans	2	Two-way contrast	-31.0	22.0	Germanic	Indo-European	Nominal Categories
ain	Ainu	2	Two-way contrast	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	2	Two-way contrast	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
aly	Alyawarra	3	Three-way contrast	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
amb	Ambulas	3	Three-way contrast	-3.83333333333	143.0	Middle Sepik	Sepik	Nominal Categories
ame	Amele	3	Three-way contrast	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Categories
any	Anywa	3	Three-way contrast	8.0	33.5	Nilotic	Eastern Sudanic	Nominal Categories
ao	Ao	2	Two-way contrast	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
apl	Apalaí	3	Three-way contrast	0.0	-54.0	Cariban	Cariban	Nominal Categories
apu	Apurinã	2	Two-way contrast	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	3	Three-way contrast	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	2	Two-way contrast	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Two-way contrast	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	2	Two-way contrast	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
amp	Arrernte (Mparntwe)	3	Three-way contrast	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
asm	Asmat	4	Four-way contrast	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
bad	Bade	2	Two-way contrast	12.8333333333	10.5	West Chadic	Afro-Asiatic	Nominal Categories
bak	Baka (in Cameroon)	2	Two-way contrast	2.58333333333	13.5833333333	Ubangi	Niger-Congo	Nominal Categories
