ID	mtDNA_Lang	population	group	megagroup	HG_red
Neandertal	ref	ref	ref	ref	ref
NAM076	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM078	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM079	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L0d2
NAM080	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM081	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM082	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM083	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM084	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM085	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM086	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM087	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM089	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM090	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM091	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM092	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM093	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM094	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM095	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L0d1
NAM146	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM155	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM288	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM290	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3e
NAM291	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM292	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM351	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L0d1
NAM352	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM354	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L0d1
NAM355	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3f
NAM356	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L3d
NAM357	Herero	Herero	B_HereroHimba	HereroHimbaDamara	L0d1
NAM244	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L2a
NAM285	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM286	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L0d1
NAM287	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3e
NAM289	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM293	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM294	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM295	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L0d1
NAM296	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM297	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM298	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM400	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM401	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM402	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM403	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM404	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3e
NAM405	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3e
NAM406	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3f
NAM407	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3e
NAM408	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM409	Himba	Himba	B_HereroHimba	HereroHimbaDamara	L3d
NAM088	Owambo	Owambo	Bantu_Namibia	Bantu	L3d
NAM137	Kimbundu	Kimbundu	Bantu_Namibia	Bantu	L3e
NAM253	Kwanyama	Kwanyama	Bantu_Namibia	Bantu	L0a
NAM331	Owambo	Owambo	Bantu_Namibia	Bantu	L0a
NAM358	Kavango	Kavango	Bantu_Namibia	Bantu	L0k
NAM363	Kwangari	Kwangari	Bantu_Namibia	Bantu	L1b
NAM434	Owambo	Owambo	Bantu_Namibia	Bantu	L3f
NAM436	Owambo	Owambo	Bantu_Namibia	Bantu	L0a
NAM453	Kwanyama	Kwanyama	Bantu_Namibia	Bantu	L3f
NAM469	Kwanyama	Kwanyama	Bantu_Namibia	Bantu	L2a
NAM471	Kwanyama	Kwanyama	Bantu_Namibia	Bantu	L3f
BOT6_161	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L0d1
BOT6_186	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L3d
NAM182	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L2a
NAM183	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L1c
NAM184	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L0d2
NAM185	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L3e
NAM186	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L3e
NAM187	Mbukushu	Mbukushu	Bantu_Zambia	Bantu	L1c
