glottocode,name,macroarea,latitude,longitude,Language_family,precipitation,tones
kaba1278,Kabardian,Eurasia,43.5082,43.3918,Abkhaz-Adyge,56.5765,0
afar1241,Afar,Africa,12.2281,41.8083,Afro-Asiatic,14.991,0
amha1245,Amharic,Africa,11.7082,39.5435,Afro-Asiatic,75.97866667,0
arbo1245,Arbore,Africa,4.92183,36.7986,Afro-Asiatic,53.38333333,0
bili1260,Bilin,Africa,15.7833,38.3917,Afro-Asiatic,15.9045,0
bora1271,"Borana-Arsi-Guji Oromo",Africa,1.05676,37.882,Afro-Asiatic,72.46916667,0
burj1242,Burji,Africa,4.44624,38.4646,Afro-Asiatic,73.702,0
cent2194,"Central Atlas Tamazight",Africa,32.7415,-2.40872,Afro-Asiatic,35.69316667,0
egyp1253,"Egyptian Arabic",Africa,31.0,31.0,Afro-Asiatic,2.912166667,0
gude1246,Gude,Africa,10.2138,13.403,Afro-Asiatic,71.49566667,2
haus1257,Hausa,Africa,11.1513,8.7804,Afro-Asiatic,34.98683333,3
hebr1245,Hebrew,Eurasia,31.1056,35.0179,Afro-Asiatic,48.5515,0
iraq1241,Iraqw,Africa,-4.19948,35.2939,Afro-Asiatic,54.36233333,3
kaby1243,Kabyle,Africa,36.4103,4.76137,Afro-Asiatic,46.02333333,0
lagw1237,Lagwan,Africa,11.5592,14.9884,Afro-Asiatic,43.4635,2
liby1240,"Libyan Arabic",Africa,22.0032,15.0014,Afro-Asiatic,15.3375,0
marg1265,"Marghi Central",Africa,10.8385,12.9952,Afro-Asiatic,54.416,2
ngas1240,Ngas,Africa,9.32042,9.46146,Afro-Asiatic,105.3676667,3
nucl1695,"Nuclear Bole",Africa,11.4839,11.2322,Afro-Asiatic,63.45533333,0
park1239,Parkwa,Africa,11.0206,14.0964,Afro-Asiatic,54.61716667,0
qima1242,Qimant,Africa,12.8119,37.0542,Afro-Asiatic,101.199,4
seba1251,"Sebat Bet Gurage",Africa,8.11879,37.9891,Afro-Asiatic,110.5235,0
sida1246,Sidamo,Africa,6.74176,38.3729,Afro-Asiatic,89.64216667,0
siwi1239,Siwi,Africa,29.2023,25.5197,Afro-Asiatic,1.115166667,0
tari1263,Tarifit,Africa,35.3281,-1.87354,Afro-Asiatic,38.35516667,0
tigr1271,Tigrinya,Africa,15.3359,38.9266,Afro-Asiatic,48.61716667,0
tsam1247,Tsamai,Africa,5.3097,36.9139,Afro-Asiatic,53.38333333,2
ainu1240,"Ainu (Japan)",Eurasia,43.633654,142.46167,Ainu,101.7826667,0
east2542,"Eastern Ojibwa","North America",45.0112,-79.7503,Algic,62.0545,0
shaw1249,Shawnee,"North America",35.354,-96.7635,Algic,107.1508333,0
yuro1248,Yurok,"North America",41.3262,-123.824,Algic,112.4448333,0
mapu1245,Mapudungun,"South America",-38.7392,-71.277,Araucanian,7.888333333,0
asha1243,"Asháninka","South America",-11.9311,-73.9073,Arawakan,165.0338333,0
curr1243,Curripaco,"South America",0.69618,-67.5028,Arawakan,213.275,0
araw1276,Lokono,"South America",5.64295,-56.9243,Arawakan,179.7435,0
pali1279,"Palikúr","South America",3.63993,-51.6246,Arawakan,242.3438333,0
para1316,Paraujano,"South America",10.8427,-71.8399,Arawakan,104.462833315,0
pare1272,"Parecís","South America",-14.5929,-57.4059,Arawakan,120.4781667,0
piap1246,Piapoco,"South America",4.37718,-68.5953,Arawakan,180.7603333,0
tere1279,Tereno,"South America",-20.6614,-56.0329,Arawakan,89.0735,0
wapi1253,Wapishana,"South America",2.58744,-59.8021,Arawakan,140.4273333,0
wayu1243,Wayuu,"South America",10.2252,-71.8101,Arawakan,102.2256667,0
yine1238,Yine,"South America",-11.1086,-73.3087,Arawakan,92.90633333,0
chip1261,Chipewyan,"North America",58.3637,-110.832,Athapaskan-Eyak-Tlingit,30.89741667,4
hupa1239,Hupa,"North America",41.0982,-123.68,Athapaskan-Eyak-Tlingit,98.22358335,0
jica1244,"Jicarilla Apache","North America",36.8079,-107.007,Athapaskan-Eyak-Tlingit,27.211,3
